Date,Weight (lb),Waist (in),Hip (in),Neck (in),BF%,Fat Mass (lb),Lean Mass (lb),Fat Mass Change (lb),Lean Mass Change (lb)
10/5/2024,273.4,48,51,18,35.46,96.94,176.46,,
10/12/2024,268.8,47,50,18,34.19,91.9,176.9,-5.03,0.43
10/15/2024,265.8,46.5,51,18,33.54,89.15,176.65,-2.75,-0.25
10/26/2024,267.8,47,50,18,34.19,91.56,176.24,2.41,-0.41
11/2/2024,267.8,46,50,18,32.88,88.05,179.75,-3.51,3.51
3/8/2025,265.2,47,50.5,18,34.19,90.67,174.53,2.62,-5.22
3/19/2025,262.2,45.5,50.5,18,32.21,84.44,177.76,-6.23,3.23
3/26/2025,262.2,45.5,50,18,32.21,84.44,177.76,0,0
4/9/2025,259,45.5,49,18,32.21,83.41,175.59,-1.03,-2.17
4/19/2025,258.2,45.5,49,18,32.21,83.16,175.04,-0.26,-0.54
